country_Code,Country_number,Country,Currency Name,Currency_Code,Currency_Number
NGA,566,NIGERIA,Naira,NGN,566
NIU,570,NIUE,New Zealand Dollar,NZD,554
NFK,574,NORFOLK ISLAND,Australian Dollar,AUD,36
MNP,580,NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840
NOR,578,NORWAY,Norwegian Krone,NOK,578
OMN,512,OMAN,Rial Omani,OMR,512
PAK,586,PAKISTAN,Pakistan Rupee,PKR,586
PLW,585,PALAU,US Dollar,USD,840
PSE,275,PALESTINE, None,Non,0
PAN,591,PANAMA,Balboa,PAB,590
PAN,591,PANAMA,US Dollar,USD,840
PNG,598,PAPUA NEW GUINEA,Kina,PGK,598
PRY,600,PARAGUAY,Guarani,PYG,600
PER,604,PERU,Nuevo Sol,PEN,604
PHL,608,PHILIPPINES (THE),Philippine Peso,PHP,608
PCN,612,PITCAIRN,New Zealand Dollar,NZD,554
POL,616,POLAND,Zloty,PLN,985
PRT,620,PORTUGAL,Euro,EUR,978
PRI,630,PUERTO RICO,US Dollar,USD,840
QAT,634,QATAR,Qatari Rial,QAR,634
REU,638,RÉUNION,Euro,EUR,978
ROU,642,ROMANIA,Romanian Leu,RON,946
RUS,643,RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643
RWA,646,RWANDA,Rwanda Franc,RWF,646
BLM,652,SAINT BARTHÉLEMY,Euro,EUR,978
SHN,654,SAINT HELENA| ASCENSION AND TRISTAN DA CUNHA,Saint Helena Pound,SHP,654
KNA,659,SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951
LCA,662,SAINT LUCIA,East Caribbean Dollar,XCD,951
MAF,663,SAINT MARTIN (FRENCH PART),Euro,EUR,978
SPM,666,SAINT PIERRE AND MIQUELON,Euro,EUR,978
VCT,670,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951
WSM,882,SAMOA,Tala,WST,882
SMR,674,SAN MARINO,Euro,EUR,978
STP,678,SAO TOME AND PRINCIPE,Dobra,STN,930
SAU,682,SAUDI ARABIA,Saudi Riyal,SAR,682
SEN,686,SENEGAL,CFA Franc BCEAO,XOF,952
SRB,688,SERBIA,Serbian Dinar,RSD,941
SYC,690,SEYCHELLES,Seychelles Rupee,SCR,690
SLE,694,SIERRA LEONE,Leone,SLL,694
